Date,Walk,Resistance Training,Yoga,Notes
04/22/2025,Yes,No,Yes,15 walk outside
04/23/2025,Yes,Yes,No,Did 10 counter pushups; 30 min treadmill walk
04/24/2025,No,No,No,
04/25/2025,No,No,Yes,Short yoga sequence before bed
04/26/2025,Yes,Yes,No,"30 min walk; 10 counter pushups and a few resistance exercises "
04/27/2025,No,No,Yes,
04/28/2025,Yes,No,No,Evening 30 min walk on treadmill
04/29/2025,Yes,Yes,No,"Hour long walk on the treadmill; 10 counter pushups "
04/30/2025,No,No,Yes,Tried out a new yoga channel on YT and really enjoyed it
05/01/2025,Yes,Yes,No,30 min treadmill walk
05/03/2025,No,No,No,
05/04/2025,No,No,No,
05/05/2025,No,No,No,
05/06/2025,Yes,No,No,45-min walk
05/07/2025,Yes,No,No,Outdoor walk to shake off some frustration
05/08/2025,No,No,No,
