Date,Walk,Resistance Training,Yoga,Notes
2025-04-22,Yes,No,Yes,15 walk outside
2025-04-23,Yes,Yes,No,Did 10 counter pushups; 30 min treadmill walk
2025-04-24,No,No,No,
2025-04-25,No,No,Yes,Short yoga sequence before bed
2025-04-26,Yes,Yes,No,30 min walk; 10 counter pushups and a few resistance exercises 
2025-04-27,No,No,Yes,
2025-04-28,Yes,No,No,Evening 30 min walk on treadmill
2025-04-29,Yes,Yes,No,Hour long walk on the treadmill; 10 counter pushups 
2025-04-30,No,No,Yes,Tried out a new yoga channel on YT and really enjoyed it
2025-05-01,Yes,Yes,No,30 min treadmill walk
2025-05-03,No,No,No,
2025-05-04,No,No,No,
2025-05-05,No,No,No,
2025-05-06,Yes,No,No,45-min walk
2025-05-07,Yes,No,No,Outdoor walk to shake off some frustration
2025-05-08,No,No,No,
